cwe_id,name,type,score
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7872969783469288
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7682806508621882
1336,Improper Neutralization of Special Elements Used in a Template Engine,Base,0.7654432199993901
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7569207339533615
96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),Base,0.7425013492119034
184,Incomplete List of Disallowed Inputs,Base,0.7377347759736534
138,Improper Neutralization of Special Elements,Class,0.7302215053184613
943,Improper Neutralization of Special Elements in Data Query Logic,Class,0.7294100814971815
1236,Improper Neutralization of Formula Elements in a CSV File,Base,0.7223512960632149
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),Variant,0.7222954560514863
