cwe_id,name,type,score
606,Unchecked Input for Loop Condition,Base,0.7557782270416711
1325,Improperly Controlled Sequential Memory Allocation,Base,0.7526464766627069
404,Improper Resource Shutdown or Release,Class,0.7461389137860387
667,Improper Locking,Class,0.7436424789195621
131,Incorrect Calculation of Buffer Size,Base,0.7397733775440876
691,Insufficient Control Flow Management,Pillar,0.7384491648372435
191,Integer Underflow (Wrap or Wraparound),Base,0.738349651845205
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7380309312133724
805,Buffer Access with Incorrect Length Value,Base,0.7379658696957927
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7374546203000747
